#"Step","Potential Energy (kJ/mole)","Temperature (K)"
11000,-20257.08950805664,298.70615498776004
12000,-20729.513610839844,298.1059874045013
13000,-20990.39794921875,303.5525419038069
14000,-20682.979400634766,303.1453188800939
15000,-20795.05255126953,304.02056300018415
16000,-20506.28497314453,303.9552108336977
17000,-21070.99380493164,300.1040016574342
18000,-21392.754302978516,301.18328769133177
19000,-21126.38250732422,300.5875609947501
20000,-20907.25308227539,296.93794228472007
21000,-21787.277618408203,305.82402697739855
22000,-21177.761108398438,302.79946265366465
23000,-21561.449615478516,296.3437262887442
24000,-21428.124389648438,304.4439422932045
25000,-21616.444396972656,304.83463038732714
26000,-21659.672149658203,301.89101699807236
27000,-21426.718658447266,301.4099678349415
28000,-22225.234313964844,298.64416013351956
29000,-21699.84375,299.8108667372297
30000,-21507.60089111328,302.596851463334
31000,-21405.151916503906,303.7570453228079
32000,-21437.05258178711,308.7395072561925
33000,-22152.432556152344,302.598800888879
34000,-21459.752563476562,301.61621323359947
35000,-22034.043579101562,294.4186798707141
36000,-21558.516662597656,301.0452337698863
37000,-22145.956115722656,296.5038741582018
38000,-21824.629425048828,303.8231599589724
39000,-21603.644439697266,305.64106679526174
40000,-21329.73974609375,299.2314594623554
41000,-21545.304412841797,298.17279630201006
42000,-21903.650024414062,300.10460222749157
43000,-21719.352111816406,299.2157345448073
44000,-22402.098999023438,304.94987024799616
45000,-21861.534057617188,298.64038843015925
46000,-21463.47772216797,301.24311884914215
47000,-21325.360778808594,295.3890744425776
48000,-22018.79736328125,298.18354520099916
49000,-21687.253509521484,301.8400345548916
50000,-21990.448120117188,294.3292318779131
51000,-21652.961944580078,301.47235902430964
52000,-21663.067352294922,303.0548351381676
53000,-21486.001831054688,304.4153824828004
54000,-22003.048889160156,303.6941842223035
55000,-21629.533813476562,296.5028706390662
56000,-22179.66049194336,302.6080983699886
57000,-22656.868774414062,300.8764106757115
58000,-21416.06591796875,300.7166027058243
59000,-21915.064361572266,303.6995578185474
60000,-22620.818298339844,299.74839648698196
61000,-21963.977081298828,306.55771325745246
62000,-22040.58758544922,307.0010135111246
63000,-22192.247131347656,302.03193840794876
64000,-21650.793060302734,299.59648723772574
65000,-21969.18130493164,297.2360873314417
66000,-22182.06072998047,301.5069209720698
67000,-21438.67837524414,301.68626928188957
68000,-21870.74249267578,298.21364990324486
69000,-22427.159576416016,299.8143501454803
70000,-21581.61215209961,300.05934075922585
71000,-22167.26300048828,303.1186507818588
72000,-22242.041259765625,303.9812430022617
73000,-22308.829040527344,301.82293158971333
74000,-22339.605529785156,297.2789085509865
75000,-21780.50115966797,297.7162990479135
76000,-22027.228729248047,300.20042464113936
77000,-22029.9755859375,297.6876109190661
78000,-22314.270782470703,294.8119441094286
79000,-22224.07098388672,302.3495524249342
80000,-22399.898010253906,301.1171728271551
81000,-21893.094970703125,303.16693595180624
82000,-21847.511657714844,303.74205236170803
83000,-22216.278045654297,306.98317424581353
84000,-22331.59521484375,302.0318109141978
85000,-21903.90200805664,296.58671737836534
86000,-22584.257293701172,297.33585871517334
87000,-22212.372344970703,293.5796237023699
88000,-22342.284912109375,299.1344114996441
89000,-21598.56671142578,299.56648958096605
90000,-22233.4716796875,305.29522244829957
91000,-21981.00325012207,296.8537687883013
92000,-22102.418060302734,299.5337210236599
93000,-22391.76141357422,297.5916576395321
94000,-21702.45620727539,300.5231266499349
95000,-21779.617248535156,300.9131369122351
96000,-22371.990966796875,300.8207264574251
97000,-21849.76385498047,296.71388863765026
98000,-21423.808685302734,298.2098921515708
99000,-22340.413116455078,304.5059444591556
100000,-22449.522583007812,301.8571674825409
101000,-22214.092071533203,299.55546180245483
102000,-21479.866302490234,303.8712871881808
103000,-21880.320861816406,301.62409704767464
104000,-22114.98760986328,297.21369063206305
105000,-22524.18731689453,299.20830865163555
106000,-22280.001342773438,292.58804370272765
107000,-22468.70245361328,299.5155205763296
108000,-22059.953857421875,302.88714981271346
109000,-22233.6396484375,300.8153299368161
110000,-22140.468688964844,306.27952751663616
